SL,User Name,Rating,Review,Medical Name,Resource_Link
11,ZUBAIR CHOWDHURY (Zubair),3,Only best medical college and Hospital in Chittagong. Best treatment place for poor people also last emergency effort for all class people in the society,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
12,Rashid A. Arshad,5,Healthcare workers.,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
13,Faishal Sowrab,5,Best medical college ever in Bangladesh. Love this institute with all of my heart,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
14,Rokon Jabed,5,One of the most famous govt hospital in chittagong…,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
15,Saad Amin,5,best government medical hospital in Chittagong,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
16,Sᴀʀᴡᴀʀ Rᴜʙᴇʟ,4,Chattogram medical college hospital is the big government hospital in Chattogram division and city.,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
17,imtiaz parvez,3,"Not good staff service, bit doctors are very good,  should increase information desk and make flexible to patient.",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
18,Hriday das,5,Excellent hospital in ctg.,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
19,Shameem AQ,5,It's a government medical college and hospital. it's served treatment with low cost for public. it's always crowded because they served better treatment.,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
20,Ahsan Hq,5,Chittagong Medical government hospital big and best College and hospital…,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
21,MOHAMMED ALI CHOWDHURY,5,"Chittagong Medical College Hospital is years old hospital and medical college in Chittagong. Numerous renowned doctors are serving all over the world from this institution.
This is the last hope of the patients. Being a Govt. Hospital service here is in very cheap rate.
The total environment should be more neat and clean",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
22,launda halal,5,This is very depression when you don't get chance to study in such college :(,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
23,Shariful Alam,1,Disgusting Place For A Patient,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
24,RbcTcsWorld-Best News Channel,3,"Largest Govt Hospital & College in Chittagong, Bangladesh.",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
25,MdArman Alif AJ STAR,5,Many People life savage.,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
26,Tauhid Ershad,3,"The building is big. But the roads are not spacious enough for the numerous cars coming and going. The whole facility is in a shoddy, worn-down building, bathroom facilities are the worst(suggest not going there without ""dropping the lids at the school"" or the mandatory finishing loo visit). Covid-19 restrictions are maintained barely.  There are multiple elevators(each one quite roomy, but some are exclusive in use), along with stairs. Any normal service seeker needs to get a ticket for their disease related department. Staff are not that bad, but they can have more than one occurrence of being bad. Now, the covid vaccine there is given freely, BTW. But taking one can take time, so place yourself on the fourth floor, as soon as possible.",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
27,Ghost Hunter,5,Dath for Life.This is Hart of Chottogram.,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
28,Shafiqul islam,5,Top One Hospital,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
29,Mahabub Hasan,5,Largest govt. medical college and hospital in Chattogram. People prefer it despite having lots of limitations. Have experienced doctors but service is not upto the mark. Cleanliness is a major issue.,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
30,Monzurul alam,1,Till waiting de Covid 19 Tika. 22.2.21,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
31,Arif Shifat,4,Treatment is outstanding but service is pretty bad.,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
32,pc Subro,5,dealy but perfect.,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
33,Sf Khan,5,2nd Largest Public Hospital In Bangladesh... It Has More Than 1500 Bed…,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
34,forman ali,5,Helpful place for poor,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
35,Selim Nur Jahangir,5,My alma mater!,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
36,Masud Perves,4,Largest govt. medical college and hospital in Chattogram. People prefer it despite having lots of limitations. Have experienced doctors but service is not upto the mark. Cleanliness is a major issue. Existence of outsiders who take bribe from the service seekers. Have scope to develop service quality. Natural beauty around the campus is very fine.,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
37,Md Asif Chy,4,Outstanding 🙂,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
38,Mohammad Hossain,4,Divisional Medical college Hospital of Chittagong. The hope of  all type of people specially for the poor. Very special for the heart patients.  Toilets are very dirty. Touts and medicine agents disturbance is much high and  cause much loss to the poor patients.,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
39,Suman Biswas,5,Best treatment scope at chattogram still for mass people with less cost,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
40,zaved parvez,5,Best doctor here,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
41,Kazi Nazrul Islam,5,"It is the best medical college in Chittagong. The campus is really good and so nice. The environment is also best for the students to study. All types of facility here. That's a good side of this college. Beside these, the teachers of this college also too good.",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
42,Emran Bitul,5,It is one of  most biggest government hospital in Bangladesh.,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
43,Amjad hossain,5,Service.......,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
44,Mahabub Shamim,2,Not good service,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
45,Md. Ishrak Zaman,3,The central government medical college and hospital in Chottogram.,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
46,Syeda Sharmin Akter,4,The largest & best medical of Chattogram city which is government Institute. The doctors & interns are the best & give the best medical services to the patients. Emergency Management & others services are best. But the lower level of security just get damage this renowned medical. Hope it will be solve by us.,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
47,Tamzid Bhuiyan,2,2 star for the environment..,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
48,Md Nazmul Hassan,5,"In 1956, the after government decided to establish a medical college in Chittagong. It was to be the second of such institution after Dhaka Medical College established eight years earlier in 1948, in the Eastern province of the erstwhile Pakistan, which later on went on to emerge as the independent state of Bangladesh in 1971. In 1957, the Chittagong medical College came into being. Befittingly, this instruction has earned the admiration of all by actively participating in the great Liberation war of BANGLADESH in 1971. Many students and teachers of this college fought gallantly to significantly contribute towards achieving the final Victory.",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
49,Fuad Hassan,5,Only government medical college in Chittagong. Serves thousands of patients everyday. Has got almost all departments. Also accommodates post graduate trainees.,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
50,Obaidul Kader,4,It's the biggest public hospital in Chittagong. Though the pressure of the patients is huge  doctors give their best efforts to help people. As all walks of people are coming here for treatment you can find it Chaotic and little unhygienic. But it's the only hospital in Chittagong where you can get all specialist Doctors and cost effective treatment. Another thing you should be careful that representatives of private hospitals will try to convince to get admitted in their hospital but it's a trap. Hope you will get well very soon if ever you have to get admitted.,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
51,Mohammad Shamsul Alam,4,"Rating the hospital doesn’t mean the quality of it. The biggest hospital in the division and only last destination of higher treatment for the poor people. Huge patients in almost all wards. You will see patients in the bad and more in the floors. Visitors are greater in number than the patients. Service is not of any kind, quality of treatment is below any level. Cost is very reasonable. Poor people have only way to take treatment from here. Huge complaints against all of the services but that the best treatment for the patients. College is one of the best in the country. Need massive changes for the development of the hispital.",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
52,Borhan Uddin,3,"Medical administration is now better then two years ago.I hope ward patient will get better facility.ward toilet is not perfect for using.The guardian of patient require good recreation for mental support. Ward toilets should make 100%ready for use.but there have no  water tape,basin etc. Ladies sweapers are most rubbish here.",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
53,Md. Akter Hossain,1,Total quality less place for any medical attention,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
54,Musa Meah,5,I love it,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
55,Mohammad Yasin Chowdhury,3,"Much improvement is needed in terms of service, bed space, cleanliness, budgeting, maintenance of the environment, payment to the health workers and regulation of their behaviour.. Because it's the Centre of medical knowledge and service in Chittagong... With enough effort it can be made the best in Bangladesh",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
56,TAHAMINA SHARMIN,3,"As a medical college it's the best.Doctors​ are the best. But the unhealthy and dirty atmosphere of the wards makes​ you suffocated. As a government medical hospital , it should be more neat and clean.",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
57,Kid's Life,5,Biggest health service government institution in Chittagong. It is improving its service quality Day by day. Large number of people come here for health service. Doctors are cooperative. Treatment is good here rather than other private Hospitals. It is the 1st choice of Poor people,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
58,Nurul Huda,5,good service,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
59,Md. Sayem Shahriar,5,The best medical college in chittagong. Doctors are highly qualified who are saving many lives every day with their relentless effort.,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
60,P U,5,This medical & hospital is the best of Chittagong division,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
61,Al Masum,4,Good treatment,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
62,Ahmed Rakib,5,"Chittagong Medical College Hospital (CMCH) is the largest and the best public hospital in Chittagong. The superiority is due to the presence of plenty specialist Doctors in the hospital. The hospital provides high facilities in the equipment. The doctors,nurses, supporting stuffs are too experienced and easily handle the cases.They also check the patients carefully. Different tests, such as ECG,X-rays,Dialysis etc are available at a very very low cost. However, as a govt. institute, the service is moderately slow. The supporting stuffs are also arrogant and egotist.  The toilets and floors are unhygienic due the load of patient. At night time, the staffs take tamper for their routine activity.",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
63,Antony Anik,5,Awesome,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
64,Chamak Howlader (Shuvo),5,Best emergency service provider in whole Chittagong district. Even at midnight emergency they can handle it very wisely.,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
65,Emum Hossain,4,"As a hospital it is very much dirty. Transportation system is almost good. The system of this Hospital is very bad. But the treatment is very good, it is comparatively cheap than any other. You do not want to go there but you have to go there for a better treatment. It is one of the oldest Hospital in Chittagong.",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
66,Dr Touhid,5,"One of the most important and old medical college hospital in Bangladesh that's providing very good service with a lots of different types of department. 24 hours emergency service is given here by a lot of Doctors with their medical assistant,sisters, ward boys & a lots of other staffs. Every kind of investigation is available here in low cost ( The rate is fixed by Government). Different types of operations is also available here. Postgraduate student is taking their training from this medical college hospital under BSMMU, Dhaka.",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
67,MITUL,5,Chattogram Medical College Hospital was established at the present site in 1960 with only 120 beds and the outpatient services. At that time the young hospital housed only the Departments of Surgery and Gynecology and Obstetrics. Chittagong Hospital Housed the department of Medicine and allied specialties still 1969 and thereafter it remained affiliated with Chittagong Medical College Hospital as one of its teaching hospitals.,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
68,Rownak Shahriar Ruhan,4,"Chittagong Medical College (CMC) is situated in the port city of Chittagong, Bangladesh and is the oldest medical college in the south-eastern part of the country. It is affiliated with a tertiary level hospital where clinical students are trained in medicine, surgery, obstetrics and gynaecology and other sub-specialties.[citation needed] Currently, students from Bhutan, India, Iran, Malaysia, Nepal, Palestine, Pakistan, and Sri Lanka are studying in various phases of MBBS course alongside the native students.",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
69,Tawsif Ismam mimon,5,love it.,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
70,Ahmad Ullah,5,Chittagong Medical College Hospital is government Hospital and big hospital in chittagong. This is good and also beautiful hospital but all servicing is not good because there behaver is not also good. Everyday many people feel very suffering.,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
71,Md. Maksudur Rahman,5,chittagong medical college is most popular and the district government hospital and college in chittagong not only district but also division. Here is all kinds of medical facility.it's  is popular for poor people.it is very helpful for poor people which have not ability to get good medical service with high cost.but the chittagong medical college hospital provides free medical service by govtment,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
72,Md Mamun,5,So Nice,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
73,Md Sajjad Zahid,4,"Country is developing, but not in all index. Government Medical is in the leading no where need to improve radically. Though this is the best place to have any kind of treatment but if you have a good relation inside.",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
74,Mohammad Najim Uddin,1,Not very good,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
75,Abdul Karim (The Success Story),4,Chittagong best government medical institution. but slow service. free food and treatment. you have to buy the medicine.,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
76,Bakhtiar Ahmed,2,"Considering its exterior, it seems as though it has achieved all the accolades that has ever been given. But when it comes to its internal affairs, it is highly corrupt & unorganised.",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
77,Zaber Hasani,5,It is a new building in the dental unit. Expert doctors treated patients. Here at low cost patients are given good treatment.,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
78,MONIRUL ISLAM,5,here and the rest in the next couple more information please contact the sender immediately and permanently to you on your own personal information about your experience of a lot and then we have been able a good day please send us your time in my case the new messages from my account number for me but not in any case I will have the right thing that the first place and it has taken a new message is ready by email at all and it will not sure how are the only way you are doing good luck in finding it is the same thing is a very long to respond back and a good idea.,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
79,Engr Shahadat Mahamod Chowdhury,5,"CMC is the best government medical college in chittagong.its have a large campus and good environment.Anyone can come to take treatments.its have a lots of specialist doctor.they always give you good advise. but sometimes their services quality  is too poor...
1",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
80,Reaz Uddin,4,Heart of Chittagong for poor people..!!!,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
81,jahid hasan,4,You must be get proper treatment but not survice☺,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
82,Shawkat Osm,3,"First government medical school in Bangladesh, 1957. The last place for treatment for people having financial difficulties. I can't rate it lower than 3 star- it does offer free treatment, but loads of corruption. Health and Safety, hygiene and others foreign thingies- don't expect.  But still they need to improvise in millions of areas, sitting in 2016 they can't keep saying- 'this is Bangladesh'.",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
83,Md Ahad Hossain,5,One of the best hospital in bangladesh. nice place although but food quality in medical oh please forget it.,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
84,Mohammad Zia Uddin,4,Roll health services in Chattogram / Chittagong division. There have many senior doctor and most of them BCS in health. This Medical University College educate many student. Student can take mbbs and FCPS degree form there. This Medical always crowded with various types of  patients.,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
85,zia uddin,5,"Its Such a nice place & affordable treatment you get from here, and one more thing You can Study Master of Public Health Here under Bangladesh Open University.",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
86,MA Rashed,3,"Good Hospital in Chattogram, but need to clean full floor not only one room. And must remove dallal . This is need checkup government .",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
87,Azizul Islam,3,Chittagong Medical College Hospital is the largest hospital in Chittagong. They are giving many medical facilities here. But the condition of the medical facilities are not good enough and very unhygienic​ also. though its very hard for them to keep the place clean as the pressure of many patient but they need to be more alert on hygienic issue and others also.,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
88,Kazi Tarek Ir,5,"this is a government hospital,this place is so beautyfull,every one like this place,its most valuable & powerfull place of Chittagong,this place provide u peace and relax,road is so clean, you look that,different types of people,different types of program,in this place,I think everyone like this place for meeting place,transport facility is so good,u can go easily this place from every side,so I suggest all people for this place",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
89,Md Nazmussakib,5,Most important hospital  at Chittagong Division. Complete Public medical college and hospital.,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
90,Amin Ahmed,5,"Chittagong Medical College is situated in the port city of Chittagong, Bangladesh and is the oldest medical college in the south-eastern part of the country. It is affiliated with a tertiary level hospital where clinical students are trained in medicine, surgery, obstetrics and gynaecology and other sub-specialties.",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
91,Morshed Alam Mamun,5,Here I spent the most valuable 6 years of my life....,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
92,Md Jabed Hossain,5,I love it. this palace nice and very helpful..,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
93,Abdul Hannan Akib,5,"CMCH is a govt hospital. It's very much helpfull for the poor and middle class people.
""ICU"" unit of the hospital is very much active than the others.",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
94,Riajul Mawa,4,Famous health  care place in Chattogram area but their servants & officers are not human,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
95,moshiur rahman,5,"Chittagong Medical College (CMC) is situated in the port city of Chittagong, Bangladesh and is the oldest medical college in the south-eastern part of the country. It is affiliated with a tertiary level hospital where clinical students are trained in medicine, surgery, obstetrics and gynaecology and other sub-specialties.[1]Currently, students from Bhutan, India, Iran, Malaysia, Nepal, Palestine, Pakistan, and Sri Lanka are studying in various phases of MBBScourse alongside the native students",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
96,Moin uddin ahamed,4,Good and fast treatment but i think need more action from 3rd party say Dalal. Environment also not good that much.,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
97,Nahian Masnad,5,A finest medical college in Bangladesh and my birth place also 😊,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
98,Al Yeacha Irfan,2,Worst area. Gov't need to take care of this strictly.,Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
99,khairul islam,5,"Chittagong Medical College (CMC) (Bengali: চট্টগ্রাম মেডিকেল কলেজ) Chittagong Medical College (CMC) (Bengali: চট্টগ্রাম মেডিকেল কলেজ) is a government medical school in Bangladesh, established in 1957. It is located in the south-eastern port city of Chittagong. It is the largest medical college in Chittagong Division and second largest medical college in Bangladesh. It is affiliated with Chittagong University.",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
100,Zanibul Huq,5,"Best medical College and hospital at Bangladesh. Basically, it remains a dream for all medical student to get chance at Dhaka medical college. it is very tough and competitive to get chance here. higher degrees of medical education also available here. Their treatment also good. they are serving as the main government hospital at Bangladesh.",Chattogram Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
101,Shakhawat Hossen Raju,5,it’s one of the oldest medical College in our Country.,Dhaka Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
102,Maqfi Reza,4,Dhaka Medical College Hospital is the country’s largest Government Hospital. I just have my COVID Vaccination here today. Very nice arrangement. Volunteers & nurses are very helpful and friendly. They just taken 10 minutes for vaccination and another 30 minutes for observation. Nice arrangement.,Dhaka Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
103,MD. SANJIDUL ISLAM,5,I never ever went there. It is not only the best hospital but also the best ever Medical College in our country. One day I will go there as a student of this renowned college & hospital to serve the nation. Keep me in your prayers.❤️❤️,Dhaka Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
104,Creative Creations,5,Best medical college hospital over the Bangladesh.,Dhaka Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
105,Local Boys,5,Dhaka Medical is Mount Elizabeth for the poor I pray for all the Dr. here The biggest and best medical college in Bangladesh that I have seen,Dhaka Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
106,Shahin Islam,5,"Dhaka Medical College and Hospital (abbreviated DMCH) is a public medical college and hospital located in Dhaka, the capital city of Bangladesh. It houses medical school as well as a tertiary care hospital on one campus.",Dhaka Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
107,kowsar khan,5,"This historical institution has produced more then 10000 doctors who has kept great role in society. Dhaka Medical College dormitory (known as Barrack) was the heart of the language movement from 1948 to 1952. Students of this Medical College sacrifice their lives for the Langugage movement. The Shaheed Minar for language movement was established within DMCH compound which was later separated. In 1971, during the liberation war many students and doctors of this institution took part directly and indirectly to the war.",Dhaka Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
108,Matubber Mamun,5,"Dhaka Medical College and Hospital, its name is Liquid Oxygen, it is located on the south east side of the garden gate of the hospital. It is forbidden to carry any kind of fire around it.It's very nice to see.From here oxygen is supplied to all the patients of the hospital. This hospital has 3 floors.",Dhaka Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
109,Faiaz Ahmed Rabbany,5,"One of the biggest medical colleges of Bangladesh is Dhaka Medical College. It was founded in 1946. Dhaka Medical College situated at Bakshi Bazar in Dhaka near University of Dhaka and BUET.
This medical college is also one of the largest public hospital in Bangladesh. A huge number of patients come here to get proper treatment in cheaper cost from different parts of the country.
It's have almost all departments to treat patients properly. But it's  always remain too much crowded and environment of the hospital is too much nasty. Still in many medical conditions this is the last destinations for many patients to get treatments.",Dhaka Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
110,Salekin Hasan,5,Dhaka Medical College Hospital one of the most popular Hospital in Bangladesh. People all over the country come to the hospital for treatment. Many experienced doctors treatment here.,Dhaka Medical College Hospital,"https://www.google.com/maps/@22.3591136,91.8415966,15z"
